iter	Passed	Remaining
465	718	823
466	720	822
467	721	820
468	722	817
469	723	815
470	724	814
471	725	811
472	727	810
473	727	807
474	728	805
475	729	802
476	730	800
477	731	798
478	732	796
479	733	795
480	734	793
481	735	790
482	736	788
483	738	787
484	740	786
485	741	783
486	741	781
487	742	779
488	743	776
489	744	774
490	746	773
491	747	771
492	748	769
493	749	767
494	750	765
495	751	763
496	755	764
497	757	763
498	759	762
499	760	760
500	761	758
501	762	756
502	765	756
503	766	754
504	770	754
505	772	754
506	773	752
507	774	750
508	775	748
509	776	746
510	777	744
511	778	742
512	779	740
513	780	738
514	782	736
515	787	739
516	789	737
517	790	735
518	791	733
519	791	731
520	792	728
521	793	726
522	794	724
523	795	722
524	796	720
525	797	718
526	802	720
527	803	718
528	804	716
529	805	714
530	806	712
531	806	709
532	807	707
533	808	705
534	809	703
535	810	701
536	811	699
537	812	697
538	812	695
539	813	692
540	815	691
541	816	690
542	819	689
543	820	687
544	820	685
545	821	683
546	822	680
547	822	678
548	823	676
549	824	674
550	825	672
551	825	670
552	826	667
553	826	665
554	828	663
555	828	661
556	832	662
557	833	660
558	834	658
559	835	656
560	836	654
561	837	652
562	839	651
563	840	649
564	841	647
565	841	645
566	842	643
567	843	641
568	845	640
569	848	639
570	850	639
571	851	637
572	852	634
573	852	632
574	853	630
575	854	628
576	855	627
577	856	625
578	857	623
579	858	621
580	859	619
581	860	618
582	862	617
583	863	615
584	864	613
585	865	611
586	866	609
587	867	607
588	868	606
589	870	604
590	871	603
591	872	601
592	872	599
593	873	597
594	876	596
595	877	594
596	878	593
597	879	591
598	880	589
599	881	587
600	881	585
601	882	583
602	883	581
603	884	579
604	884	577
605	885	575
606	886	573
607	887	571
608	887	570
609	888	568
610	889	566
611	891	565
612	892	563
613	893	561
614	893	559
615	894	557
616	895	556
617	896	554
618	897	552
619	898	550
620	898	548
621	899	546
622	900	544
623	900	542
624	901	541
625	902	539
626	902	537
627	903	535
628	904	533
629	905	531
630	906	530
631	907	528
632	908	526
633	909	525
634	910	523
635	910	521
636	911	519
637	912	517
638	912	515
639	913	513
640	914	512
641	914	510
642	915	508
643	916	506
644	916	504
645	917	502
646	917	500
647	918	498
648	919	497
649	921	495
650	922	494
651	923	492
652	924	491
653	925	489
654	925	487
655	926	485
656	927	484
657	927	482
658	928	480
659	928	478
660	929	476
661	930	474
662	931	473
663	931	471
664	932	469
665	933	467
666	933	466
667	934	464
668	935	462
669	936	461
670	937	459
671	938	457
672	939	456
673	940	454
674	940	453
675	941	451
676	942	449
677	942	447
678	943	446
679	944	444
680	944	442
681	945	441
682	946	439
683	947	437
684	947	435
685	948	434
686	949	432
687	950	431
688	952	429
689	952	428
690	953	426
691	954	424
692	955	423
693	956	421
694	956	419
695	958	418
696	959	417
697	960	415
698	961	413
699	962	412
700	962	410
701	963	409
702	964	407
703	965	406
704	966	404
705	967	402
706	968	401
707	968	399
708	969	397
709	970	396
710	970	394
711	971	393
712	972	391
713	973	389
714	974	388
715	975	386
716	975	385
717	976	383
718	977	381
719	977	380
720	978	378
721	979	377
722	980	375
723	981	374
724	982	372
725	982	370
726	983	369
727	984	367
728	985	366
729	985	364
730	986	363
731	987	361
732	987	359
733	988	358
734	989	356
735	990	355
736	990	353
737	991	351
738	992	350
739	992	348
740	993	347
741	994	345
742	995	344
743	996	342
744	997	341
745	997	339
746	998	338
747	998	336
748	999	334
749	1000	333
750	1000	331
751	1001	330
752	1002	328
753	1003	327
754	1003	325
755	1004	324
756	1005	322
757	1005	321
758	1006	319
759	1006	317
760	1007	316
761	1008	314
762	1008	313
763	1010	312
764	1011	310
765	1011	309
766	1012	307
767	1013	306
768	1014	304
769	1014	303
770	1015	301
771	1016	300
772	1016	298
773	1017	297
774	1018	295
775	1018	294
776	1019	292
777	1020	291
778	1020	289
779	1021	288
780	1022	286
781	1022	285
782	1023	283
783	1024	282
784	1025	280
785	1025	279
786	1026	277
787	1027	276
788	1027	274
789	1028	273
790	1029	271
791	1029	270
792	1030	269
793	1031	267
794	1032	266
795	1032	264
796	1033	263
797	1034	261
798	1035	260
799	1035	258
800	1036	257
801	1036	255
802	1037	254
803	1038	253
804	1039	251
805	1040	250
806	1041	249
807	1041	247
808	1042	246
809	1043	244
810	1043	243
811	1044	241
812	1044	240
813	1045	238
814	1046	237
815	1046	236
816	1047	234
817	1048	233
818	1048	231
819	1049	230
820	1050	228
821	1050	227
822	1051	226
823	1051	224
824	1052	223
825	1053	221
826	1054	220
827	1055	219
828	1056	217
829	1056	216
830	1057	215
831	1057	213
832	1058	212
833	1059	210
834	1060	209
835	1060	208
836	1061	206
837	1061	205
838	1062	203
839	1063	202
840	1063	201
841	1064	199
842	1064	198
843	1065	197
844	1066	195
845	1067	194
846	1067	192
847	1068	191
848	1068	190
849	1069	188
850	1070	187
851	1071	186
852	1072	184
853	1072	183
854	1073	182
855	1074	180
856	1074	179
857	1075	177
858	1076	176
859	1076	175
860	1077	173
861	1078	172
862	1078	171
863	1079	169
864	1080	168
865	1081	167
866	1081	165
867	1082	164
868	1082	163
869	1083	161
870	1084	160
871	1085	159
872	1086	157
873	1086	156
874	1087	155
875	1088	154
876	1088	152
877	1089	151
878	1089	150
879	1090	148
880	1091	147
881	1092	146
882	1093	144
883	1093	143
884	1094	142
885	1095	140
886	1096	139
887	1096	138
888	1097	136
889	1097	135
890	1098	134
891	1099	133
892	1099	131
893	1100	130
894	1101	129
895	1102	127
896	1102	126
897	1103	125
898	1104	124
899	1104	122
900	1105	121
901	1106	120
902	1106	118
903	1107	117
904	1107	116
905	1108	115
906	1109	113
907	1109	112
908	1110	111
909	1111	109
910	1111	108
911	1112	107
912	1113	106
913	1113	104
914	1114	103
915	1115	102
916	1116	101
917	1117	99
918	1117	98
919	1118	97
920	1119	95
921	1119	94
922	1120	93
923	1121	92
924	1121	90
925	1122	89
926	1122	88
927	1123	87
928	1124	85
929	1124	84
930	1125	83
931	1126	82
932	1126	80
933	1127	79
934	1127	78
935	1128	77
936	1129	75
937	1130	74
938	1131	73
939	1131	72
940	1132	71
941	1133	69
942	1133	68
943	1134	67
944	1134	66
945	1135	64
946	1136	63
947	1137	62
948	1138	61
949	1138	59
950	1139	58
951	1139	57
952	1140	56
953	1141	55
954	1141	53
955	1142	52
956	1143	51
957	1143	50
958	1144	48
959	1145	47
960	1146	46
961	1147	45
962	1147	44
963	1148	42
964	1149	41
965	1149	40
966	1150	39
967	1151	38
968	1151	36
969	1152	35
970	1153	34
971	1153	33
972	1154	32
973	1154	30
974	1156	29
975	1156	28
976	1157	27
977	1158	26
978	1159	24
979	1159	23
980	1160	22
981	1161	21
982	1162	20
983	1162	18
984	1163	17
985	1164	16
986	1164	15
987	1165	14
988	1166	12
989	1166	11
990	1167	10
991	1168	9
992	1169	8
993	1169	7
994	1170	5
995	1170	4
996	1171	3
997	1172	2
998	1172	1
999	1173	0
